2553000,1.61,251962,-228962
2552999,1.26,462735,-114047
2552998,1.5,150956,-94466
2552997,1.19,148552,-139884
2552996,1.07,113469,-108778
2552995,1.59,137322,-110389
2552994,1.03,111186,-100982
2552993,1.49,120291,-37581
2552992,1.25,117421,-46387
2552991,1.52,120534,-37811
2552990,1.69,100171,-17971
2552989,6.09,107295,110746
2552988,1.33,108556,-104396
2552987,21.09,75697,63417
2552986,1.45,41796,-36653
2552985,7.22,84210,85397
2552984,5.69,224819,166240
2552983,1.59,175871,-13486
2552982,11.23,157499,198753
2552981,2.53,228079,9679
2552980,1.03,196567,-186463
2552979,1.21,242019,-109634
2552978,1.61,96154,-57338
2552977,1.43,171621,-50812
2552976,12.89,170730,70550
2552975,1.82,74197,-55181
2552974,44.23,134983,247790
2552973,2.71,487332,177501
2552972,1.13,104299,-99891
2552971,1.03,183417,-182717
2552970,1.16,82769,-80219
2552969,1.01,64316,-64315
2552968,2.6,141366,-11180
2552967,2.81,155764,-10526
2552966,11.71,140976,65068
2552965,7.02,346063,264860
2552964,2.64,132157,-55532
2552963,1.02,96520,-85908
2552962,2.68,285236,153223
2552961,1.24,206688,-68258
2552960,1.06,288363,-277190
2552959,1.07,271561,-63795
2552958,2.03,288702,99607
2552957,1.74,529386,-19509
2552956,1.89,241478,13735
2552955,1.1,284527,-67524
2552954,12.33,268635,95353
2552953,1.67,271281,-19774
2552952,2.47,261816,187425
2552951,2.81,274814,15194
2552950,3.24,408368,159761
2552949,1.66,121031,-93104
2552948,1.35,106280,-75052
2552947,1.09,328917,-314809
2552946,1.82,492420,-25416
2552945,1.22,229495,-212634
2552944,1.27,242481,-227319
2552943,1.07,98388,-97328
2552942,1.39,111513,-16918
2552941,6.8,42676,47468
2552940,1.05,66248,-55933
2552939,2.07,61566,-15520
2552938,10.11,60340,49036
2552937,6.73,147133,194069
2552936,2.6,383949,-17560
2552935,1.95,269594,-65170
2552934,1.48,125365,-96750
2552933,1.37,291835,-51129
2552932,1.3,97272,-27087
2552931,1.33,79420,-57572
2552930,1.54,67226,-43686
2552929,1.46,58245,-35942
2552928,1.97,312646,-3729
2552927,3.01,79133,35605
2552926,7.66,56262,31964
2552925,1.09,77089,-64755
2552924,2.83,41483,1317
2552923,14.11,64528,30166
2552922,2.43,54311,5458
2552921,2.7,36719,-1604
2552920,6.24,103123,48331
2552919,1.6,101354,-29545
2552918,2.14,68032,1766
2552917,1.27,57677,-39313
2552916,2.13,39916,2221
2552915,3.61,76635,19628
2552914,7.27,43811,50466
2552913,1.27,54998,-31942
2552912,15.35,55830,51850
2552911,3.32,93001,26081
2552910,1.95,57067,-33807
2552909,6.44,54563,55667
2552908,9.42,178714,223669
2552907,1.04,126080,-126077
2552906,2.11,78250,-32612
2552905,2.69,162392,-19027
2552904,2.75,90047,-16760
2552903,1.25,73206,-68867
2552902,1.45,54048,-41025
2552901,1.63,76751,-64943
2552900,1.99,296815,-26479
2552899,3.26,93410,68494
2552898,1.59,59475,-37716
2552897,1.47,55179,-41646
2552896,2.69,301616,-6364
2552895,1.01,75842,-75838
2552894,1.25,63781,-43244
2552893,5.62,67682,77416
2552892,1.56,61001,-36069
2552891,1.36,52835,-33499
2552890,16.5,65024,46687
