배수,총배팅,1게임배수,2게임배수,3게임배수,4게임배수,5게임배수,6게임배수,7게임배수,8게임배수,9게임배수,10게임배수,100게임이득,50게임이득,10게임이득,5게임이득,3게임이득
1.43,94704,3.93,6.91,10.25,11.719999999999999,14.76,15.77,21.21,22.9,29.23,30.46,501146,413144,105099,98519,98860
23.52,45486,2.45,3.91,6.050000000000001,7.48,11.41,14.39,17.73,19.2,22.240000000000002,23.25,342051,192445,-59684,-43737,-29414
4.32,62872,23.52,25.97,27.43,29.57,31.0,34.93,37.91,41.25,42.72,45.760000000000005,364733,210649,75898,-22621,30703
1.06,76406,1.54,2.77,7.090000000000001,30.61,33.06,34.519999999999996,36.66,38.089999999999996,42.019999999999996,44.99999999999999,190622,-81236,-64949,-20502,-83450
4.61,66568,1.06,2.6,3.83,8.15,31.669999999999998,34.120000000000005,35.58,37.72,39.15,43.08,76721,-146082,-139596,-95859,-213545
12.21,94453,2.99,7.6000000000000005,8.66,10.200000000000001,11.430000000000001,15.750000000000002,39.27,41.720000000000006,43.18,45.32,194522,-147386,-84272,-172544,-35289
6.16,98364,12.21,15.200000000000001,19.810000000000002,20.87,22.410000000000004,23.64,27.96,51.480000000000004,53.93000000000001,55.39,266652,-95554,-29256,-22130,99781
13.69,93670,6.16,18.37,21.36,25.970000000000002,27.03,28.570000000000004,29.8,34.120000000000005,57.64,60.09,298070,-73823,42014,62516,105527
2.29,70688,4.34,18.03,24.19,36.400000000000006,39.39,44.0,45.06,46.60000000000001,47.83,52.150000000000006,379495,-36238,86514,212975,146473
2.59,71700,2.29,6.63,20.32,26.48,38.690000000000005,41.68,46.29,47.35,48.89000000000001,50.12,339946,-154113,339,172883,75078
3.5,89569,2.59,4.88,9.219999999999999,22.91,29.07,41.28,44.269999999999996,48.879999999999995,49.94,51.480000000000004,342812,-161407,104147,126277,18390
6.6,83820,1.14,2.21,5.71,8.3,10.59,14.93,28.62,34.78,46.99,49.98,196491,-304650,3674,-209301,-189105
31.92,67022,1.87,3.59,5.76,12.36,13.5,14.57,18.07,20.66,22.95,27.290000000000003,103928,-141893,-255799,-158976,-144104
1.61,60398,31.92,33.79,35.510000000000005,37.68,44.28,45.42,46.49,49.99,52.58,54.870000000000005,218039,12127,-192447,16854,79450
1.3,77796,1.61,33.53,35.4,37.120000000000005,39.29,45.89,47.03,48.1,51.6,54.19,192104,4512,-194806,-76895,62725
2.09,82503,10.12,11.25,12.29,14.319999999999999,15.62,17.229999999999997,49.15,51.019999999999996,52.74,54.91,-27579,-528962,-304195,-227300,-156643
42.6,64808,2.09,12.209999999999999,13.34,14.379999999999999,16.409999999999997,17.71,19.319999999999997,51.239999999999995,53.11,54.83,2799,-617633,-171971,-159035,-47551
12.72,76007,42.6,44.69,54.81,55.94,56.980000000000004,59.01,60.31,61.92,93.84,95.71000000000001,-4360,-518452,-117175,-109243,120579
2.65,76323,12.72,55.32,57.41,67.53,68.66,69.7,71.73,73.03,74.64,106.56,71360,-334628,-50564,51368,109527
1.01,86636,2.65,15.370000000000001,57.97,60.059999999999995,70.18,71.31,72.35000000000001,74.38000000000001,75.68,77.29,80810,-269445,-158981,176227,92440
3.26,58667,1.01,3.66,16.380000000000003,58.98,61.06999999999999,71.19000000000001,72.32000000000001,73.36000000000001,75.39000000000001,76.69000000000001,-32862,-307522,-210886,16414,-30986
1.59,86986,3.26,4.27,6.92,19.64,62.239999999999995,64.33,74.45000000000002,75.58000000000001,76.62000000000002,78.65000000000002,12492,-309437,-118893,40142,-58777
3.26,55911,1.59,4.85,5.859999999999999,8.51,21.23,63.83,65.92,76.04000000000002,77.17000000000002,78.21000000000002,65265,-311598,-130662,-21419,-77067
2.16,53853,3.26,4.85,8.11,9.12,11.77,24.490000000000002,67.09,69.18,79.30000000000003,80.43000000000002,153216,-264242,3039,-48329,44784
1.38,76056,2.16,5.42,7.01,10.27,11.28,13.93,26.650000000000002,69.25,71.34,81.46000000000002,14254,-230101,128562,-47665,4633
35.97,53992,1.38,3.54,6.8,8.39,11.649999999999999,12.66,15.309999999999999,28.03,70.63,72.72,24131,-227102,30116,13702,4135
10.06,73632,35.97,37.35,39.51,42.769999999999996,44.36,47.62,48.629999999999995,51.28,64.0,106.6,132104,-262969,60893,20751,10303
1.21,35852,10.06,46.03,47.410000000000004,49.57,52.83,54.42,57.68,58.69,61.34,74.06,235415,-151096,94736,116155,86753
1.33,65656,1.21,11.27,47.24,48.620000000000005,50.78,54.04,55.63,58.89,59.9,62.550000000000004,230744,-255864,-1626,46703,77785
1.7,55339,1.33,2.54,12.6,48.57,49.95,52.11,55.37,56.96,60.22,61.23,235119,-235271,-46255,1410,-14708
2.3,71091,1.7,3.0300000000000002,4.24,14.299999999999999,50.27,51.650000000000006,53.81,57.07,58.660000000000004,61.92,145874,-282483,16138,2436,-109584
5.63,67100,2.3,4.0,5.33,6.54,16.599999999999998,52.57,53.95,56.11,59.37,60.96,194688,-249544,-8571,-29322,-65722
2.83,86626,5.63,7.93,9.629999999999999,10.96,12.17,22.229999999999997,58.2,59.580000000000005,61.74,65.0,101717,-265168,58312,-57843,27500
1.79,99604,2.83,8.46,10.76,12.459999999999999,13.790000000000001,15.0,25.059999999999995,61.03,62.410000000000004,64.57000000000001,147183,-249321,37299,-9404,65945
1.86,74877,1.79,4.62,10.25,12.55,14.25,15.580000000000002,16.79,26.849999999999994,62.82,64.2,95887,-317257,17943,16533,31147
1.84,70724,1.86,3.6500000000000004,6.48,12.11,14.41,16.11,17.44,18.65,28.709999999999994,64.68,4048,-265705,37674,35238,-16503
6.19,70691,1.84,3.7,5.49,8.32,13.95,16.25,17.95,19.28,20.49,30.549999999999994,10382,-288014,-22256,7066,-49252
6.92,76578,6.19,8.030000000000001,9.89,11.68,14.510000000000002,20.14,22.44,24.14,25.470000000000002,26.68,-57838,-209025,-46147,11696,22663
1.57,78239,4.87,5.94,12.86,19.05,20.89,22.750000000000004,24.540000000000003,27.37,33.0,35.3,-89171,-275418,113797,78559,50360
1.27,56104,1.57,6.44,7.510000000000001,14.43,20.62,22.46,24.320000000000004,26.110000000000003,28.94,34.57,-114590,-233544,54410,47344,-87114
12.87,61234,1.27,2.84,7.710000000000001,8.780000000000001,15.7,21.89,23.73,25.590000000000003,27.380000000000003,30.21,-322781,-241545,-41326,-53022,-46273
4.58,68846,12.87,14.139999999999999,15.709999999999999,20.58,21.65,28.57,34.76,36.6,38.46,40.25,-205744,-59662,50063,-35143,2211
1.14,64985,4.58,17.45,18.72,20.29,25.159999999999997,26.229999999999997,33.15,39.339999999999996,41.18,43.04,-156653,-13832,154343,138429,131080
23.83,58326,1.14,5.72,18.59,19.86,21.43,26.299999999999997,27.369999999999997,34.29,40.48,42.32,-229443,-82057,99376,20817,124199
1.4,81435,23.83,24.97,29.549999999999997,42.42,43.69,45.26,50.129999999999995,51.199999999999996,58.12,64.31,-167385,-71831,186927,139583,87612
1.08,76930,1.91,3.34,5.18,8.19,9.459999999999999,10.86,34.69,35.83,40.41,53.28,-602866,-446464,-23242,-192719,-219505
1.81,81296,1.08,2.99,4.42,6.26,9.27,10.54,11.94,35.769999999999996,36.91,41.489999999999995,-667646,-376187,-205680,-241314,-221384
1.39,78294,1.42,5.5,7.3100000000000005,8.39,10.3,11.73,13.57,16.58,17.85,19.25,-406449,-219190,-272783,-88214,20509
3.43,61524,8.21,9.600000000000001,11.02,15.100000000000001,16.910000000000004,17.990000000000002,19.900000000000002,21.330000000000002,23.17,26.18,-362220,-220327,-244430,-3116,-72935
6.64,90011,3.43,11.64,13.030000000000001,14.45,18.53,20.340000000000003,21.42,23.330000000000002,24.76,26.6,-289045,-301172,-278373,51082,-2532
9.27,80236,1.09,7.7299999999999995,11.16,19.37,20.76,22.18,26.26,28.070000000000004,29.150000000000002,31.060000000000002,-517024,-264449,-146409,-58195,-34570
1.19,77732,9.27,10.36,17.0,20.43,28.64,30.03,31.45,35.53,37.34,38.42,-610062,-221101,-84183,16584,-25315
1.63,31976,10.06,11.25,20.52,21.61,28.25,31.68,39.89,41.28,42.7,46.78,-566737,3792,20838,-30244,25419
5.31,59201,4.17,7.74,9.17,10.36,13.11,14.11,15.12,16.75,26.810000000000002,28.0,-738703,-427105,-336666,-87090,-13598
1.26,91366,5.31,9.48,13.05,14.48,15.669999999999998,18.419999999999998,19.419999999999998,20.43,22.06,32.120000000000005,-699264,-435022,-232532,-73723,70904
2.28,91974,1.26,6.569999999999999,10.74,14.31,15.74,16.93,19.68,20.68,21.69,23.32,-747841,-517740,-392970,-74831,-52362
1.1,69194,2.28,3.54,8.85,13.02,16.59,18.02,19.21,21.96,22.96,23.970000000000002,-696593,-469491,-359251,5353,-38251
1.68,54180,1.1,3.38,4.640000000000001,9.95,14.12,17.69,19.12,20.310000000000002,23.060000000000002,24.060000000000002,-839658,-576689,-302274,-95193,-131364
