2.14,105455,3764,13.15,8.34,395088,269753,-132596,-195467,76277
1.46,109624,-32245,13.82,7.5,367617,298396,-32579,-290982,2789
2.45,120248,-933,11.94,5.03,305329,151187,5453,-260838,11782
23.52,45486,63881,11.41,6.05,342051,192445,2097,-140074,-59684
4.32,62872,53805,31,27.43,364733,210649,118060,-4531,75898
1.23,132742,-91634,33.89,30.29,293874,186247,198979,97831,106732
1.54,121129,-45621,32.98,29.07,212869,118954,-92085,-30054,38410
1.06,76406,-76290,33.06,7.09,190622,-81236,-261092,-53067,-64949
4.61,66568,33279,31.67,3.83,76721,-146082,-345407,-117218,-139596
2.99,103047,7722,12.76,7.21,203982,-142821,-255849,-43983,-149082
12.21,94453,58780,11.43,8.66,194522,-147386,-279739,-7995,-84272
6.16,98364,39025,22.41,19.81,266652,-95554,-320238,-26467,-29256
13.69,93670,68862,27.03,21.36,298070,-73823,-218824,53796,42014
4.34,102040,38586,39.66,32.06,367030,32583,-28265,52125,111809
2.29,70688,-32370,39.39,24.19,379495,-36238,81983,162412,86514
2.59,71700,12174,38.69,20.32,339946,-154113,98170,107071,339
3.5,89569,31909,29.07,9.22,342812,-161407,74093,142557,104147
1.07,169504,-147122,26.41,8.38,396495,-156402,128610,116728,181677
1.14,113561,-73892,13.79,7.16,261602,-291459,-6373,-28751,110845
6.6,83820,59020,10.59,5.71,196491,-304650,-40309,-145408,3674
2.17,207388,-121616,14.9,8.81,252380,-161896,46977,-29300,54972
1.72,133742,-18004,14.48,9.91,146688,-187259,-151891,-154680,-125424
1.87,123295,-4484,12.7,10.49,167904,-134986,-128657,-140439,-182453
31.92,67022,101938,13.5,5.76,103928,-141893,-203674,-143990,-255799
1.61,60398,-34729,44.28,35.51,218039,12127,-30035,-105933,-192447
1.3,77796,-57657,39.29,35.4,192104,4512,-87735,-194467,-194806
2.03,108137,-13000,38.42,34.83,126962,-252575,-122080,-160490,-264637
1.04,128835,-98484,38.73,4.94,84685,-388961,-192818,-127869,-309546
1.13,163621,-131338,37.9,4.37,-12185,-495470,-289659,-150063,-260908
10.12,144161,73179,7.11,4.2,-103816,-570529,-463762,-314680,-318354
2.09,82503,10608,15.62,12.29,-27579,-528962,-333495,-249223,-304195
42.6,64808,36792,16.41,13.34,2799,-617633,-326651,-297395,-171971
12.72,76007,62127,56.98,54.81,-4360,-518452,-257614,-299628,-117175
2.65,76323,-6479,68.66,57.41,71360,-334628,-194554,-306363,-50564
1.01,86636,-86634,70.18,57.97,80810,-269445,-264914,-351428,-158981
3.26,58667,34336,61.07,16.38,-32862,-307522,-405353,-405692,-210886
1.59,86986,-24769,62.24,6.92,12492,-309437,-279383,-383530,-118893
3.26,55911,35217,21.23,5.86,65265,-311598,-258531,-440208,-130662
2.16,53853,-5815,11.77,8.11,153216,-264242,-147024,-257869,3039
1.38,76056,-25267,11.28,7.01,14254,-230101,-186118,-189792,128562
35.97,53992,41385,11.65,6.8,24131,-227102,-219107,-274079,30116
10.06,73632,70635,44.36,39.51,132104,-262969,-236502,-111078,60893
1.21,35852,-34235,52.83,47.41,235415,-151096,-204892,-22439,94736
1.33,65656,-51108,50.78,47.24,230744,-255864,-307989,-52190,-1626
1.7,55339,-24241,49.95,12.6,235119,-235271,-397683,-205236,-46255
2.3,71091,9627,50.27,4.24,145874,-282483,-389554,-194748,16138
5.63,67100,42114,16.6,5.33,194688,-249544,-392101,-127464,-8571
2.83,86626,14204,12.17,9.63,101717,-265168,-381896,-72350,58312
1.79,99604,-25171,13.79,10.76,147183,-249321,-220570,40338,37299
1.86,74877,-5536,14.25,10.25,95887,-317257,-171849,146505,17943
1.84,70724,-18545,14.41,6.48,4048,-265705,-236405,67790,37674
6.19,70691,46744,13.95,5.49,10382,-288014,-133334,38637,-22256
6.92,76578,87714,14.51,9.89,-57838,-209025,-68586,48589,-46147
1.07,126067,-94463,18.6,14.95,72067,-120378,23612,74176,75802
4.87,183642,57109,17.88,14.18,-68073,-278722,-172789,-13808,32447
1.57,78239,-49760,20.89,12.86,-89171,-275418,-80951,129935,113797
1.27,56104,-53622,20.62,7.51,-114590,-233544,-73054,45839,54410
12.87,61234,105593,15.7,7.71,-322781,-241545,-113676,16986,-41326
4.58,68846,79109,21.65,15.71,-205744,-59662,90401,87362,50063
1.14,64985,-60503,25.16,18.72,-156653,-13832,300848,172286,154343
23.83,58326,69006,21.43,18.59,-229443,-82057,167166,137050,99376
1.4,81435,-23728,43.69,29.55,-167385,-71831,225564,164671,186927
1.27,128922,-28250,43.82,26.37,-208407,-134584,165044,70308,116455
3.01,169909,55036,32.22,26.5,-199113,-231696,74667,76293,491
1.84,118059,-74966,30.65,5.68,-251484,-215246,136182,182437,149990
1.43,159119,-112661,31.35,6.12,-411955,-257842,147850,131712,17915
1.91,124362,-31878,8.95,6.28,-544084,-382677,853,9424,-44986
1.08,76930,-76845,9.46,5.18,-602866,-446464,-6256,-64568,-23242
1.81,81296,-33105,9.27,4.42,-667646,-376187,-118318,-155617,-205680
4.08,131634,102924,8.07,4.8,-640050,-335400,-145608,-163551,-317894
1.42,104562,-49310,10.31,6.97,-453392,-291496,-17417,-55091,-154467
1.39,78294,-44431,10.3,7.31,-406449,-219190,-108112,-85856,-272783
8.21,102613,20806,9.78,6.89,-380603,-245617,-223178,-177031,-293486
3.43,61524,21093,16.91,11.02,-362220,-220327,-168137,-243939,-244430
6.64,90011,26839,18.53,13.03,-289045,-301172,-95936,-128383,-278373
1.09,120432,-82502,21.09,18.28,-235092,-239604,-44856,-158653,-176568
9.27,80236,30348,20.76,11.16,-517024,-264449,-136985,-191395,-146409
1.19,77732,-76834,28.64,17,-610062,-221101,-148751,-107425,-84183
10.06,150183,71905,21.62,11.55,-694921,-199451,-239789,-289852,-84172
1.63,31976,-10737,28.25,20.52,-566737,3792,-142713,-297056,20838
1.01,122792,-122790,23.24,12.88,-609086,-80124,-147914,-247290,-92823
1,111120,-111120,23.16,12.7,-831155,-213522,-252159,-439086,-166303
2.75,147648,13933,14.89,3.64,-879886,-361434,-410023,-526478,-232992
1.19,108694,-87425,16.45,4.76,-744256,-409628,-483804,-484295,-239865
1.43,120296,-57202,7.58,4.94,-760019,-490574,-476766,-626756,-348383
3.57,132915,34733,7.38,5.37,-768664,-461142,-591077,-608992,-432424
4.17,100397,8871,9.94,6.19,-770182,-460745,-506584,-461598,-315189
5.31,59201,27300,13.11,9.17,-738703,-427105,-444091,-420849,-336666
1.26,91366,-88533,15.67,13.05,-699264,-435022,-522384,-316704,-232532
2.28,91974,22982,15.74,10.74,-747841,-517740,-690026,-372132,-392970
1.1,69194,-65813,16.59,8.85,-696593,-469491,-606541,-452074,-359251
1.68,54180,-43595,14.12,4.64,-839658,-576689,-741360,-468577,-302274
9.78,104583,56747,11.63,5.06,-842015,-690919,-761227,-467741,-234749
1.08,70751,-70624,16.1,12.56,-855801,-599937,-676230,-431800,-191935
13.16,57669,53011,15.92,12.54,-854724,-619453,-801890,-523517,-175134
1.59,40716,-15097,26.8,24.02,-824684,-542201,-673913,-497345,-64921
1.11,81887,-72330,27.29,15.83,-816469,-566925,-576349,-429940,-114751
1,94989,-94989,26.72,15.86,-946537,-681369,-616801,-532618,-195952
1.85,89363,-19730,17.94,3.7,-1039883,-790562,-634945,-550773,-318241
2.18,86613,-12524,18.71,3.96,-1102378,-785121,-621570,-642408,-249438
9.88,92839,62244,7.73,5.03,-1057814,-792109,-737018,-644195,-284944
1.51,108425,-36174,16.02,13.91,-999334,-711320,-625464,-459161,-156887
1.76,86691,-41607,16.42,13.57,-1003263,-794238,-617207,-384215,-149466
1.11,77274,-59191,17.18,13.15,-1043937,-923559,-679620,-439755,-247820
3.49,93976,25365,16.44,4.38,-1167009,-888287,-759904,-411521,-236387
1.58,68434,-42480,17.75,6.36,-1195449,-920031,-761378,-328954,-264033
6.33,51978,16523,9.45,6.18,-1146295,-912751,-721356,-406167,-291416
6.8,62670,10995,14.27,11.4,-1084151,-842606,-735181,-398515,-202563
1.58,88709,-65328,19.31,14.71,-996866,-937204,-647352,-414820,-96579
1.67,57275,-50191,19.78,14.71,-1095473,-1081641,-784585,-391615,-142177
3.61,68669,44995,17.96,10.05,-1153386,-1071329,-824039,-464788,-179844
3.21,90742,50037,19.99,6.86,-1167171,-1095340,-656254,-353980,-197093
3.49,35714,7334,16.87,8.49,-1156159,-1021575,-495097,-260348,-110882
1.3,86697,-70617,13.56,10.31,-1217687,-985991,-501696,-309761,-61941
1.81,82488,-47009,13.28,8,-1326890,-1111644,-484888,-309754,-73367
5.55,85248,76034,13.42,6.6,-1341529,-1083687,-474695,-409774,-145741
105,93471,136382,15.36,8.66,-1277669,-894992,-433394,-318643,-27227
5.45,149034,20834,117.15,112.36,-1173196,-726732,-305883,-109931,92632
2.9,44402,18010,119.11,116,-1005240,-629053,-312349,5892,102471
1.25,56325,-46449,120.71,113.35,-913338,-577938,-205806,43632,185809
2.65,88758,25658,120.15,9.6,-1018807,-727311,-275237,9707,189551
1.22,48672,-46205,117.25,6.8,-871533,-652343,-183766,-26879,170214
1.85,162610,-102546,13.47,5.12,-899734,-654117,-186376,-36910,73972
1.42,102928,-79735,9.87,5.72,-997796,-777469,-345669,-97849,-35908
7.43,87768,55577,8.39,4.49,-1179469,-878297,-354780,-118393,-45026
1.07,63621,-63516,14.57,10.7,-1089163,-849559,-352214,-88181,57560
1.65,42289,-18118,12.99,9.92,-1095022,-830573,-400633,-109217,-81990
1.68,39158,-14182,13.42,10.15,-1100140,-879039,-346421,-143858,-236490
1.8,74344,-13558,13.25,4.4,-1015838,-816387,-265614,-169035,-271506
216.93,43290,38463,13.63,5.13,-898058,-901850,-259442,-117265,-303074
5.54,39442,29518,223.13,220.41,-932774,-852650,-208455,-28611,-218162
